req,feature,aspect,status,file,test,bench,owner,updated
REQ-SK-101,ConstitutionCommand,CLI,IMPL,specs/spec-kit/templates/commands/constitution.md,,,commands,2025-10-15
REQ-SK-102,SpecifyCommand,CLI,IMPL,specs/spec-kit/templates/commands/specify.md,,,commands,2025-10-15
REQ-SK-103,ClarifyCommand,CLI,IMPL,specs/spec-kit/templates/commands/clarify.md,,,commands,2025-10-15
REQ-SK-104,PlanCommand,CLI,IMPL,specs/spec-kit/templates/commands/plan.md,,,commands,2025-10-15
REQ-SK-105,TasksCommand,CLI,IMPL,specs/spec-kit/templates/commands/tasks.md,,,commands,2025-10-15
REQ-SK-106,ImplementCommand,CLI,IMPL,specs/spec-kit/templates/commands/implement.md,,,commands,2025-10-15
REQ-SK-107,AnalyzeCommand,CLI,IMPL,specs/spec-kit/templates/commands/analyze.md,,,commands,2025-10-15
REQ-SK-108,ChecklistCommand,CLI,IMPL,specs/spec-kit/templates/commands/checklist.md,,,commands,2025-10-15
REQ-SK-201,SpecifyCLIInit,CLI,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,specify,2025-10-15
REQ-SK-202,SpecifyCLICheck,CLI,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,specify,2025-10-15
REQ-SK-203,AgentDetection,Core,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,specify,2025-10-15
REQ-SK-301,SpecTemplate,Templates,IMPL,specs/spec-kit/templates/spec-template.md,,,templates,2025-10-15
REQ-SK-302,PlanTemplate,Templates,IMPL,specs/spec-kit/templates/plan-template.md,,,templates,2025-10-15
REQ-SK-303,TasksTemplate,Templates,IMPL,specs/spec-kit/templates/tasks-template.md,,,templates,2025-10-15
REQ-SK-304,ChecklistTemplate,Templates,IMPL,specs/spec-kit/templates/checklist-template.md,,,templates,2025-10-15
REQ-SK-305,ConstitutionTemplate,Templates,IMPL,specs/spec-kit/memory/constitution.md,,,templates,2025-10-15
REQ-SK-306,AgentFileTemplate,Templates,IMPL,specs/spec-kit/templates/agent-file-template.md,,,templates,2025-10-15
REQ-SK-401,LibraryFirstPrinciple,Constitution,IMPL,specs/spec-kit/memory/constitution.md,,,constitution,2025-10-15
REQ-SK-402,CLIInterfaceMandate,Constitution,IMPL,specs/spec-kit/memory/constitution.md,,,constitution,2025-10-15
REQ-SK-403,TestFirstImperative,Constitution,IMPL,specs/spec-kit/memory/constitution.md,,,constitution,2025-10-15
REQ-SK-407,SimplicityGate,Constitution,IMPL,specs/spec-kit/memory/constitution.md,,,constitution,2025-10-15
REQ-SK-408,AntiAbstractionGate,Constitution,IMPL,specs/spec-kit/memory/constitution.md,,,constitution,2025-10-15
REQ-SK-409,IntegrationFirstTesting,Constitution,IMPL,specs/spec-kit/memory/constitution.md,,,constitution,2025-10-15
REQ-SK-501,FeatureCreationScript,Automation,IMPL,specs/spec-kit/scripts/bash/create-new-feature.sh,,,scripts,2025-10-15
REQ-SK-502,PlanSetupScript,Automation,IMPL,specs/spec-kit/scripts/bash/setup-plan.sh,,,scripts,2025-10-15
REQ-SK-503,AgentContextUpdate,Automation,IMPL,specs/spec-kit/scripts/bash/update-agent-context.sh,,,scripts,2025-10-15
REQ-SK-504,PrerequisitesCheck,Automation,IMPL,specs/spec-kit/scripts/bash/check-prerequisites.sh,,,scripts,2025-10-15
REQ-SK-601,ClaudeCodeSupport,Agent,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,agents,2025-10-15
REQ-SK-602,CopilotSupport,Agent,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,agents,2025-10-15
REQ-SK-603,GeminiCLISupport,Agent,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,agents,2025-10-15
REQ-SK-604,CursorSupport,Agent,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,agents,2025-10-15
REQ-SK-605,MultiAgentSupport,Agent,IMPL,specs/spec-kit/src/specify_cli/__init__.py,,,agents,2025-10-15
REQ-SK-701,QuickstartGuide,Documentation,IMPL,specs/spec-kit/docs/quickstart.md,,,docs,2025-10-15
REQ-SK-702,ResearchDocumentation,Documentation,IMPL,specs/spec-kit/docs/index.md,,,docs,2025-10-15
REQ-SK-703,DataModelDocumentation,Documentation,IMPL,specs/spec-kit/docs/index.md,,,docs,2025-10-15
REQ-SK-704,APIContractDocumentation,Documentation,IMPL,specs/spec-kit/docs/index.md,,,docs,2025-10-15
REQ-SK-801,AmbiguityDetection,Quality,IMPL,specs/spec-kit/templates/commands/clarify.md,,,quality,2025-10-15
REQ-SK-802,ConsistencyValidation,Quality,IMPL,specs/spec-kit/templates/commands/analyze.md,,,quality,2025-10-15
REQ-SK-803,CoverageAnalysis,Quality,IMPL,specs/spec-kit/templates/commands/analyze.md,,,quality,2025-10-15
REQ-SK-804,StalenessDetection,Quality,IMPL,specs/spec-kit/scripts/bash/check-prerequisites.sh,,,quality,2025-10-15
REQ-SK-901,ReleasePackages,PackageManagement,IMPL,specs/spec-kit/.github/workflows/scripts/create-release-packages.sh,,,release,2025-10-15
REQ-SK-902,GitHubRelease,PackageManagement,IMPL,specs/spec-kit/.github/workflows/scripts/create-github-release.sh,,,release,2025-10-15
REQ-SK-903,VersionManagement,PackageManagement,IMPL,specs/spec-kit/.github/workflows/scripts/update-version.sh,,,release,2025-10-15
